sku,product_type,revenue,stock_level,price,availability,customer_demographic,order_lead_time_days,order_quantity,shipping_time_days,shipping_carriers,shipping_cost,supplier,location,supplier_lead_time_days,production_volume,manufacturing_lead_time_days,manufacturing_cost,inspection_results,defect_rate,transport_mode,routes,route_cost,capacity_buffer,stock_to_order_ratio,total_lead_time_days,predicted_products_sold
SKU94,cosmetics,7888.356546661873,77,3.037688724631414,97,Unknown,26,72,9,Carrier B,6.942945942032581,Supplier 2,Delhi,12,908,14,60.38737861486212,Pass,1.4636074984727798,Rail,Route B,846.6652569866948,836,1.0694444444444444,35,826.459769751082
SKU37,skincare,2438.339930470029,25,23.39984475261435,5,Female,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,846,1.1904761904761905,48,810.2205584415581
SKU9,skincare,4971.145987585558,14,64.01573294127854,35,Unknown,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,880,0.1686746987951807,53,806.7086329365073
SKU36,skincare,7573.402457848733,18,9.813002578754052,34,Female,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,643,0.6428571428571429,48,783.3178275613271
SKU78,haircare,1292.4584179377562,5,6.306883176111915,50,Unknown,4,51,5,Carrier B,8.46704977086199,Supplier 5,Mumbai,25,858,21,71.12651472040338,Pending,4.096881332470452,Sea,Route C,323.59220343132216,807,0.09803921568627451,51,770.3547667748918
SKU47,skincare,7089.474249934186,4,95.71213588093607,93,Male,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,913,0.0784313725490196,39,759.3511200396829
SKU11,skincare,6099.944115581452,46,90.63545998228868,95,Female,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,302,0.7666666666666667,40,754.577685515873
SKU74,haircare,5709.945295969287,41,3.170011413566155,64,Female,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,Route A,341.55265678322337,918,41.0,15,743.8985942460317
SKU46,haircare,2556.767360633596,92,27.0822071998889,75,Non-binary,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,864,15.333333333333334,49,742.1032678571428
SKU91,cosmetics,1935.206793507599,98,62.11196546396179,90,Male,22,85,7,Carrier B,7.471514084401146,Supplier 4,Delhi,5,207,28,39.772882502339975,Pending,0.6260018582093946,Rail,Route B,996.7783149506238,122,1.1529411764705881,40,714.599298611111
SKU66,skincare,8367.721618020154,13,26.03486977396209,52,Female,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,848,0.6842105263157895,60,709.3274841269846
SKU98,skincare,8525.952559683526,53,19.7546048668786,43,Female,1,27,7,Carrier B,1.409801095138073,Supplier 5,Chennai,28,581,9,5.604690864371781,Pending,2.908122169351261,Rail,Route A,882.1988635470415,554,1.962962962962963,44,696.4200158730158
SKU88,cosmetics,9444.74203306298,60,75.27040697572501,58,Male,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Mumbai,21,953,11,68.18491905704117,Pending,0.722204401882931,Sea,Route A,103.91624796070496,868,0.7058823529411765,39,684.3507440476191
SKU30,haircare,2766.342366866089,60,8.022859210526393,10,Male,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,771,1.7142857142857142,64,681.2263074494949
SKU81,haircare,4384.413400045863,48,72.81920693031822,9,Unknown,6,8,5,Carrier B,4.066277501512044,Supplier 3,Delhi,28,698,1,19.789592941903603,Pending,2.547547121548712,Rail,Route B,276.77833594679885,690,6.0,34,672.0837688492061
SKU1,skincare,7460.900065445849,53,14.84352327508434,95,Female,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,480,1.4324324324324325,55,663.1211696428571
SKU39,skincare,1912.4656631007608,78,19.127477265823256,26,Female,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,757,2.2941176470588234,39,662.6944989177487
SKU76,haircare,5328.375984297758,38,69.10879954743032,23,Male,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,Route A,997.4134501331946,963,1.7272727272727273,59,662.692931547619
SKU55,haircare,2925.6751703038126,97,79.85505834078943,16,Male,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,907,8.818181818181818,37,657.2082172619048
SKU58,skincare,2021.149810337108,10,59.84156137728931,81,Non-binary,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,352,0.22727272727272727,32,652.1793869047624
SKU52,skincare,9435.76260891213,64,98.03182965646508,1,Male,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,716,5.818181818181818,38,641.9516932720056
SKU38,cosmetics,9692.318040218432,69,52.0759306827078,75,Non-binary,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,753,0.7840909090909091,27,640.3126190476189
